time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,1,300
30000,1,300
31000,1,300
32000,1,300
33000,1,300
34000,1,300
35000,2,274
36000,2,274
37000,2,274
38000,2,274
39000,2,274
40000,2,274
41000,2,274
42000,2,274
43000,2,274
44000,2,274
45000,2,274
46000,2,274
47000,2,274
48000,2,274
49000,2,274
50000,2,274
51000,2,274
52000,2,274
53000,2,274
54000,2,274
55000,2,274
56000,2,274
57000,2,274
58000,3,273
59000,3,273
60000,3,273
61000,3,273
62000,3,273
63000,3,273
64000,3,273
65000,3,273
66000,3,273
67000,3,273
68000,3,273
69000,3,273
70000,3,273
71000,3,273
72000,3,273
73000,3,273
74000,5,271
75000,5,271
76000,5,271
77000,6,216
78000,7,206
79000,7,206
80000,7,206
81000,8,195
82000,8,195
83000,8,195
84000,9,180
85000,9,180
86000,10,163
87000,10,163
88000,10,163
89000,10,163
90000,10,163
91000,10,163
92000,10,163
93000,10,163
94000,10,163
95000,10,163
96000,10,163
97000,11,163
98000,11,163
99000,11,163
100000,11,163
101000,11,163
102000,11,163
103000,11,163
104000,11,163
105000,11,163
106000,11,163
107000,11,163
108000,11,163
109000,11,163
110000,11,163
111000,11,163
112000,11,163
113000,11,163
114000,11,163
115000,11,163
116000,11,163
117000,11,163
118000,11,163
119000,11,163
120000,11,163
121000,11,163
122000,11,163
123000,11,163
124000,11,163
125000,11,163
126000,11,163
127000,11,163
128000,11,163
129000,11,163
130000,11,163
131000,11,163
132000,11,163
133000,11,163
134000,11,163
135000,11,163
136000,11,163
137000,11,163
138000,11,163
139000,11,163
140000,11,163
141000,11,163
142000,11,163
143000,11,163
144000,11,163
145000,11,163
146000,11,163
147000,11,163
148000,12,88
149000,12,88
150000,12,88
151000,12,88
152000,12,88
153000,12,88
154000,12,88
155000,12,88
156000,12,88
157000,12,88
158000,12,88
159000,12,88
160000,12,88
161000,13,75
162000,14,61
163000,14,61
164000,14,61
165000,14,61
166000,14,61
167000,14,61
168000,14,61
169000,14,61
170000,14,61
171000,14,61
172000,14,61
173000,14,61
174000,14,61
175000,14,61
176000,14,61
177000,14,61
178000,15,61
179000,15,61
180000,16,61
181000,16,61
182000,16,61
183000,16,61
184000,16,61
185000,16,61
186000,16,61
187000,16,61
188000,16,61
189000,16,61
190000,16,61
191000,16,61
192000,16,61
193000,16,61
194000,16,61
195000,16,61
196000,16,61
197000,16,61
198000,16,61
199000,16,61
200000,16,61
