Weights
[-0.0694555  1.0694555]
[-0.02503817  1.02503817]
[ 1.58201914 -0.58201914]
[0.02398149 0.97601851]
[-0.19557053  1.19557053]
[0.72422262 0.27577738]
[0.48792439 0.51207561]
[-0.1386445  1.1386445]
[0.67074885 0.32925115]
[ 1.0447593 -0.0447593]
[0.09375795 0.90624205]
[-0.12413486  1.12413486]
[0.35899697 0.64100303]
[ 1.35634779 -0.35634779]
[-0.04844635  1.04844635]
[0.90689696 0.09310304]
[0.02458079 0.97541921]
[0.87160834 0.12839166]
[-0.04349702  1.04349702]
[ 1.65902396 -0.65902396]
[0.19989767 0.80010233]
[-0.01154969  1.01154969]
[0.89719505 0.10280495]
[ 1.10282812 -0.10282812]
[ 1.26605767 -0.26605767]
[-0.09406903  1.09406903]
[0.93726989 0.06273011]
[0.05741035 0.94258965]
[-0.08488977  1.08488977]
[ 1.28505894 -0.28505894]
