time,nb dead,nb package
1000,0,250
2000,0,250
3000,0,250
4000,0,250
5000,0,250
6000,0,250
7000,0,250
8000,0,250
9000,0,250
10000,0,250
11000,0,250
12000,0,250
13000,0,250
14000,0,250
15000,0,250
16000,0,250
17000,0,250
18000,0,250
19000,0,250
20000,0,250
21000,0,250
22000,0,250
23000,0,250
24000,0,250
25000,0,250
26000,0,250
27000,1,225
28000,2,192
29000,2,192
30000,2,192
31000,2,192
32000,2,192
33000,2,192
34000,2,192
35000,2,192
36000,2,192
37000,3,159
38000,4,134
39000,4,134
40000,4,134
41000,4,134
42000,4,134
43000,4,134
44000,4,134
45000,4,134
46000,4,134
47000,4,134
48000,4,134
49000,4,134
50000,4,134
51000,5,120
52000,5,120
53000,5,120
54000,5,120
55000,5,120
56000,5,120
57000,5,120
58000,5,120
59000,5,120
60000,5,120
61000,5,120
62000,5,120
63000,5,120
64000,5,120
65000,5,120
66000,5,120
67000,5,120
68000,5,120
69000,5,120
70000,5,120
71000,5,120
72000,5,120
73000,5,120
74000,5,120
75000,5,120
76000,6,112
77000,6,112
78000,6,112
79000,6,112
80000,6,112
81000,6,112
82000,6,112
83000,6,112
84000,6,112
85000,7,112
86000,7,112
87000,7,112
88000,7,112
89000,7,112
90000,7,112
91000,7,112
92000,7,112
93000,7,112
94000,7,112
95000,7,112
96000,7,112
97000,7,112
98000,7,112
99000,7,112
100000,7,112
101000,7,112
102000,8,112
103000,8,112
104000,8,112
105000,8,112
106000,8,112
107000,8,112
108000,8,112
109000,8,112
110000,8,112
111000,8,112
112000,9,73
113000,9,73
114000,9,73
115000,9,73
116000,9,73
117000,9,73
118000,9,73
119000,10,73
120000,10,73
121000,10,73
122000,10,73
123000,10,73
124000,10,73
125000,10,73
126000,10,73
127000,10,73
128000,10,73
129000,10,73
130000,10,73
131000,10,73
132000,10,73
133000,10,73
134000,10,73
135000,10,73
136000,10,73
137000,10,73
138000,10,73
139000,10,73
140000,10,73
141000,10,73
142000,10,73
143000,10,73
144000,10,73
145000,10,73
146000,10,73
147000,10,73
148000,10,73
149000,10,73
150000,10,73
151000,10,73
152000,11,73
153000,11,73
154000,11,73
155000,11,73
156000,11,73
157000,11,73
158000,11,73
159000,11,73
160000,11,73
161000,11,73
162000,11,73
163000,11,73
164000,11,73
165000,11,73
166000,11,73
167000,11,73
168000,11,73
169000,11,73
170000,11,73
171000,11,73
172000,11,73
173000,11,73
174000,11,73
175000,11,73
176000,11,73
177000,11,73
178000,11,73
179000,11,73
180000,12,73
181000,12,73
182000,12,73
183000,12,73
184000,12,73
185000,12,73
186000,12,73
187000,12,73
188000,12,73
189000,12,73
190000,12,73
191000,12,73
192000,12,73
193000,12,73
194000,12,73
195000,12,73
196000,12,73
197000,12,73
198000,12,73
199000,12,73
200000,12,73
