time,nb dead,nb package
1000,0,200
2000,0,200
3000,0,200
4000,0,200
5000,0,200
6000,0,200
7000,0,200
8000,0,200
9000,0,200
10000,0,200
11000,0,200
12000,0,200
13000,0,200
14000,0,200
15000,0,200
16000,0,200
17000,0,200
18000,0,200
19000,0,200
20000,0,200
21000,0,200
22000,0,200
23000,0,200
24000,0,200
25000,0,200
26000,0,200
27000,0,200
28000,0,200
29000,0,200
30000,0,200
31000,0,200
32000,0,200
33000,0,200
34000,0,200
35000,0,200
36000,0,200
37000,0,200
38000,0,200
39000,0,200
40000,0,200
41000,0,200
42000,0,200
43000,0,200
44000,0,200
45000,0,200
46000,0,200
47000,0,200
48000,0,200
49000,0,200
50000,0,200
51000,0,200
52000,0,200
53000,0,200
54000,0,200
55000,0,200
56000,0,200
57000,0,200
58000,0,200
59000,0,200
60000,0,200
61000,0,200
62000,0,200
63000,0,200
64000,0,200
65000,0,200
66000,0,200
67000,0,200
68000,0,200
69000,0,200
70000,0,200
71000,0,200
72000,0,200
73000,0,200
74000,0,200
75000,0,200
76000,0,200
77000,0,200
78000,0,200
79000,0,200
80000,0,200
81000,0,200
82000,0,200
83000,0,200
84000,0,200
85000,1,159
86000,1,159
87000,1,159
88000,1,159
89000,1,159
90000,1,159
91000,1,159
92000,1,159
93000,1,159
94000,1,159
95000,1,159
96000,1,159
97000,1,159
98000,1,159
99000,1,159
100000,2,143
101000,2,143
102000,2,143
103000,2,143
104000,2,143
105000,3,97
106000,3,97
107000,3,97
108000,3,97
109000,3,97
110000,3,97
111000,3,97
112000,3,97
113000,3,97
114000,3,97
115000,3,97
116000,3,97
117000,3,97
118000,3,97
119000,3,97
120000,3,97
121000,3,97
122000,3,97
123000,3,97
124000,3,97
125000,3,97
126000,3,97
127000,3,97
128000,3,97
129000,3,97
130000,3,97
131000,3,97
132000,3,97
133000,3,97
134000,3,97
135000,3,97
136000,3,97
137000,3,97
138000,3,97
139000,3,97
140000,3,97
141000,3,97
142000,4,97
143000,4,97
144000,4,97
145000,4,97
146000,4,97
147000,5,97
148000,5,97
149000,5,97
150000,5,97
151000,5,97
152000,6,97
153000,6,97
154000,6,97
155000,6,97
156000,6,97
157000,6,97
158000,6,97
159000,6,97
160000,6,97
161000,6,97
162000,6,97
163000,6,97
164000,6,97
165000,6,97
166000,6,97
167000,7,97
168000,7,97
169000,7,97
170000,7,97
171000,7,97
172000,7,97
173000,7,97
174000,7,97
175000,7,97
176000,7,97
177000,8,97
178000,8,97
179000,9,65
180000,9,65
181000,9,65
182000,9,65
183000,9,65
184000,9,65
185000,9,65
186000,9,65
187000,9,65
188000,10,65
189000,10,65
190000,10,65
191000,10,65
192000,10,65
193000,10,65
194000,10,65
195000,10,65
196000,10,65
197000,10,65
198000,10,65
199000,10,65
200000,10,65
