Weights
[-0.07006296  1.07006296]
[-0.03988068  1.03988068]
[ 1.60170537 -0.60170537]
[-0.0878843  1.0878843]
[ 1.24633455 -0.24633455]
[-0.04654652  1.04654652]
[0.03094111 0.96905889]
[0.71090232 0.28909768]
[0.0477759 0.9522241]
[0.77754662 0.22245338]
[0.03015692 0.96984308]
[-1.48075925  2.48075925]
[ 1.44635312 -0.44635312]
[-0.254021  1.254021]
[0.30632836 0.69367164]
[-0.13844839  1.13844839]
[-0.13119093  1.13119093]
[-0.17414776  1.17414776]
[0.14785566 0.85214434]
[0.7712315 0.2287685]
