Weights
[-0.07569091  1.07569091]
[ 1.73537006 -0.73537006]
[0.01668521 0.98331479]
[ 3.11930209 -2.11930209]
[-0.04837848  1.04837848]
[0.10292122 0.89707878]
[ 1.05206584 -0.05206584]
[-0.15941082  1.15941082]
[0.25459355 0.74540645]
[0.64675369 0.35324631]
[-1.41407864  2.41407864]
[-0.14215744  1.14215744]
[-0.36488409  1.36488409]
[-0.12456403  1.12456403]
[-3.66101712  4.66101712]
[ 1.34307366 -0.34307366]
[-8.12252341  9.12252341]
[0.51868022 0.48131978]
[ 1.16372083 -0.16372083]
[0.0392302 0.9607698]
