time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,0,300
14000,0,300
15000,0,300
16000,0,300
17000,0,300
18000,0,300
19000,0,300
20000,0,300
21000,0,300
22000,0,300
23000,0,300
24000,0,300
25000,0,300
26000,0,300
27000,0,300
28000,0,300
29000,0,300
30000,0,300
31000,0,300
32000,0,300
33000,0,300
34000,0,300
35000,0,300
36000,0,300
37000,0,300
38000,0,300
39000,0,300
40000,0,300
41000,1,274
42000,2,197
43000,2,197
44000,2,197
45000,2,197
46000,2,197
47000,2,197
48000,2,197
49000,2,197
50000,4,95
51000,5,92
52000,5,92
53000,5,92
54000,5,92
55000,5,92
56000,6,91
57000,6,91
58000,6,91
59000,6,91
60000,6,91
61000,6,91
62000,6,91
63000,6,91
64000,8,48
65000,8,48
66000,8,48
67000,9,48
68000,9,48
69000,10,48
70000,12,48
71000,12,48
72000,12,48
73000,12,48
74000,13,48
75000,13,48
76000,13,48
77000,13,48
78000,13,48
79000,13,48
80000,13,48
81000,13,48
82000,14,48
83000,15,48
84000,15,48
85000,15,48
86000,15,48
87000,15,48
88000,15,48
89000,15,48
90000,15,48
91000,15,48
92000,15,48
93000,15,48
94000,15,48
95000,15,48
96000,15,48
97000,15,48
98000,15,48
99000,15,48
100000,15,48
101000,15,48
102000,15,48
103000,15,48
104000,15,48
105000,15,48
106000,15,48
107000,15,48
108000,15,48
109000,15,48
110000,15,48
111000,15,48
112000,15,48
113000,15,48
114000,15,48
115000,15,48
116000,15,48
117000,15,48
118000,15,48
119000,15,48
120000,15,48
121000,15,48
122000,15,48
123000,16,48
124000,16,48
125000,16,48
126000,16,48
127000,17,48
128000,17,48
129000,17,48
130000,17,48
131000,17,48
132000,17,48
133000,17,48
134000,17,48
135000,17,48
136000,17,48
137000,18,48
138000,18,48
139000,18,48
140000,18,48
141000,18,48
142000,18,48
143000,18,48
144000,18,48
145000,18,48
146000,18,48
147000,18,48
148000,18,48
149000,18,48
150000,18,48
151000,18,48
152000,18,48
153000,18,48
154000,18,48
155000,18,48
156000,18,48
157000,18,48
158000,18,48
159000,18,48
160000,18,48
161000,18,48
162000,18,48
163000,18,48
164000,18,48
165000,18,48
166000,18,48
167000,18,48
168000,18,48
169000,18,48
170000,18,48
171000,18,48
172000,18,48
173000,18,48
174000,18,48
175000,18,48
176000,18,48
177000,19,48
178000,19,48
179000,19,48
180000,19,48
181000,19,48
182000,19,48
183000,19,48
184000,19,48
185000,19,48
186000,19,48
187000,19,48
188000,19,48
189000,19,48
190000,20,48
191000,20,48
192000,20,48
193000,20,48
194000,20,48
195000,20,48
196000,20,48
197000,20,48
198000,20,48
199000,20,48
200000,20,48
