Weights
[-0.07138829  1.07138829]
[ 2.14247763 -1.14247763]
[0.11489303 0.88510697]
[0.23279796 0.76720204]
[-0.18790946  1.18790946]
[-0.33937179  1.33937179]
[-0.43823164  1.43823164]
[ 2.13626109 -1.13626109]
[-1.60869371  2.60869371]
[-0.37683249  1.37683249]
[ 618.5203378 -617.5203378]
[0.24594891 0.75405109]
[ 1.81976772 -0.81976772]
[ 1.34811263 -0.34811263]
[ 4.69100084 -3.69100084]
[0.54338094 0.45661906]
[0.11208678 0.88791322]
[0.31278636 0.68721364]
[ 2.82142495 -1.82142495]
[0.6019689 0.3980311]
