time,nb dead,nb package
1000,0,300
2000,0,300
3000,0,300
4000,0,300
5000,0,300
6000,0,300
7000,0,300
8000,0,300
9000,0,300
10000,0,300
11000,0,300
12000,0,300
13000,1,300
14000,1,300
15000,1,300
16000,1,300
17000,1,300
18000,1,300
19000,1,300
20000,1,300
21000,1,300
22000,1,300
23000,1,300
24000,1,300
25000,1,300
26000,1,300
27000,1,300
28000,1,300
29000,1,300
30000,1,300
31000,2,247
32000,2,247
33000,2,247
34000,2,247
35000,2,247
36000,2,247
37000,3,131
38000,4,30
39000,4,30
40000,4,30
41000,4,30
42000,4,30
43000,5,30
44000,5,30
45000,5,30
46000,5,30
47000,5,30
48000,5,30
49000,5,30
50000,5,30
51000,5,30
52000,5,30
53000,5,30
54000,5,30
55000,5,30
56000,5,30
57000,6,29
58000,6,29
59000,6,29
60000,6,29
61000,6,29
62000,6,29
63000,6,29
64000,6,29
65000,7,29
66000,8,29
67000,8,29
68000,8,29
69000,8,29
70000,8,29
71000,8,29
72000,8,29
73000,9,16
74000,9,16
75000,9,16
76000,9,16
77000,9,16
78000,9,16
79000,9,16
80000,9,16
81000,9,16
82000,9,16
83000,9,16
84000,9,16
85000,9,16
86000,9,16
87000,9,16
88000,9,16
89000,9,16
90000,9,16
91000,9,16
92000,9,16
93000,9,16
94000,9,16
95000,9,16
96000,9,16
97000,9,16
98000,9,16
99000,9,16
100000,9,16
101000,9,16
102000,9,16
103000,9,16
104000,9,16
105000,9,16
106000,9,16
107000,9,16
108000,9,16
109000,9,16
110000,9,16
111000,9,16
112000,9,16
113000,9,16
114000,9,16
115000,9,16
116000,9,16
117000,9,16
118000,9,16
119000,9,16
120000,10,16
121000,10,16
122000,10,16
123000,10,16
124000,10,16
125000,10,16
126000,10,16
127000,10,16
128000,10,16
129000,10,16
130000,10,16
131000,11,16
132000,11,16
133000,11,16
134000,11,16
135000,11,16
136000,11,16
137000,11,16
138000,11,16
139000,11,16
140000,11,16
141000,11,16
142000,11,16
143000,11,16
144000,11,16
145000,11,16
146000,11,16
147000,11,16
148000,11,16
149000,11,16
150000,11,16
151000,11,16
152000,11,16
153000,11,16
154000,11,16
155000,12,16
156000,12,16
157000,12,16
158000,12,16
159000,12,16
160000,12,16
161000,12,16
162000,12,16
163000,12,16
164000,12,16
165000,12,16
166000,12,16
167000,12,16
168000,12,16
169000,12,16
170000,12,16
171000,12,16
172000,12,16
173000,12,16
174000,12,16
175000,12,16
176000,12,16
177000,12,16
178000,12,16
179000,12,16
180000,12,16
181000,12,16
182000,12,16
183000,12,16
184000,12,16
185000,12,16
186000,12,16
187000,12,16
188000,12,16
189000,12,16
190000,12,16
191000,12,16
192000,12,16
193000,12,16
194000,12,16
195000,12,16
196000,12,16
197000,12,16
198000,12,16
199000,12,16
200000,12,16
